inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,Hypomyelination,,CNS hypomyelination,A disorder characterized by abnormally low amount of myleination surrounding neurons in the brain or spinal cord.,brain; spinal cord,,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,intracranial hypertension,,Idiopathic intracranial hypertension,A disorder characterized by increased pressure around the brain with no identifiable cause.,brain,PTC; BIH; IIH; Pseudotumor cerebri; Benign intracranial hypertension,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,Seizure,,Febrile seizures,A disorder characterized by a seizure associated with a high body temperature.,brain,Febrile convulsion; Febrile convulsions; Febrile seizure; Fever fit,,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Cerebrocortical degeneration,A disorder characterized by degeneration of the cerebral cortex. This disorder was described in infants and possible related to autosomal recessive inheritance.,cerebral cortex,CBD,,Cerebrocortical degeneration of infancy (MedGen:347837),,,,,,,HMDB,,TMIC team,unclear whether a general degeneration ,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Amyotrophic lateral sclerosis,"A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing. (DO)",motor neuron,ALS; Maladie de Charcot,,,,DOID:332,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,BBB changes,An alteration of the exchange between blood and the nervous tissue of the brain leading to various physiological effects.,blood; brain,altered function of the blood-brain barrier,,,,,,,,,T3DB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Cerebral hypoxia,A disorder characterized by a decrease in the level of oxygen in the brain,brain,cerebral anoxia,,,,,,,,,HMDB,NCI thesaurus,TMIC team,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Cerebral palsy,"A brain disease that is caused by damage to the motor control centers of the developing brain during pregnancy, during childbirth or after birth, which affects muscle movement and balance. (DO)",brain,CP,,,,DOID:1969,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,CNS infection,A disorder in which a pathogen contaminates and infects parts of the brain or spinal cord.,brain; spinal cord,Central nervous system infection,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,CNS tumor,An abnormal growth of cells within the brain or spinal cord.,brain; spinal cord,Central nervous system tumor,,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Concussion,"A temporary loss of brain function typically resulting from a relatively mild injury to the brain, not necessarily associated with unconsciousness.",brain,,,,,,,,,,NCI thesaurus,Encyclopaedia Britannica,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Epilepsy,"A brain disease that is characterized by the occurrance of at least two unprovoked seizures resulting from a persistent epileptogenic abnormality of the brain that is able to spontaneously generate paroxysmal activity and typically manifested by sudden brief episodes of altered or diminished consciousness, involuntary movements, or convulsions. (DO)",brain,Epileptic spasms,,,,DOID:1826,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Frontotemporal dementia,A basal ganglia disease characterized by progressive neuronal loss predominantly involving the frontal and/or temporal lobes of the brain resulting in a gradual and progressive decline in behavior or language. (DO),basal ganglion,FTD,,,,DOID:9255,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Gliosis,A nonspecific reactive change of glial cells in response to damage to the CNS.,glial cell,,,,,,,,,,HMDB,,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Hydrocephalus,A disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain. (NCI CTCAE),brain,,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Hypoxic-ischemic encephalopathy,A disorder characterized by brain injury due to fetal or neo-natal aphyxia.,brain,HIE,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Intracranial Hypertension,A disorder characterized by increased pressure around the brain.,brain,,,,,,,,,,,NCI thesaurus,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Juvenile myoclonic epilepsy,"A adolescence-adult electroclinical syndrome that is characterized by brief, involuntary twitching of a muscle or a group of muscles (myoclonus) early in the morning with onset between 12 and 18 years. (DO)",brain,Janz syndrome; JME; Juvenile myoclonic epilepsy (DOID:4890),,,,DOID:4890,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Leukoencephalopathy,A disorder characterized by diffuse reactive astrocytosis with multiple areas of necrotic foci without inflammation. (NCI CTCAE),brain,leukodystrophy-like diseases,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Migraine,"A brain disease that is characterized by moderate to severe headaches, nausea, extreme sensitivity to light and sound and intense unilaterial throbbing or pulsing. (DO)",brain,,,,,DOID:6364,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Minimal brain dysfunction,"A disorder characterized by a mild impairment of brain function that affects perception, behavior, and academic ability.",brain,ADHD,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Multiple sclerosis,A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring. (DO),brain; spinal cord; myelin,Encephalomyelitis disseminata; Disseminated sclerosis; MS,,,,DOID:2377,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Neurodegenerative disease,A central nervous system disease that results in the progressive deterioration of function or structure of neurons. (DO),brain; spinal cord,,,,,DOID:1289,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Olivopontocerebral atrophy,"A neurological disorder characterized as a degeneration of neurons in the cerebellum, pons, and inferior olivary nucleus.",cerebellum; pons,OPCA,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Parkinson's disease,A long-term degenerative disorder of the central nervous system that mainly affects the motor system. The symptoms generally come on slowly over time.,brain; spinal cord; motor system,PD,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Parkinsonian syndrome,"A number of nosologic entities that are grouped together on the basis of their shared clinical features but are separated on the basis of their different pathologies. The parkinsonian syndromes include idiopathic Parkinson disease (PD), progressive supranuclear palsy (PSP), multiple system atrophy (MSA), corticobasal degeneration (CBD), and vascular Parkinsonism (VaP), among other rarer causes of parkinsonism",brain,,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Pick's disease,"A disorder characterized as a pathology that is one of the causes of frontotemporal lobar degeneration typically caused by a build-up of tau proteins in neurons, accumulating into silver-staining, spherical aggregations known as ""Pick bodies"".",frontal lobe; temporal lobe,PiD; Pick disease; Pick disease of brain; Lobar atrophy of brain,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Refractory localization-related epilepsy,An idiopathic or focal epilepsy in which medicine does not bring seizures under control.,brain,RLE; Refractory focal epilepsy;,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Rett syndrome,"A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development, loss of purposeful use of the hands, distinctive hand movements, slowed brain and head growth, problems with walking, seizures, and intellectual disability. (DO)",brain,Rett's disorder,,,,DOID:1206,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Reye's syndrome,"A syndrome characterized by acute brain damage and liver function problems. It has been associated with aspirin consumption by children with viral illness, although it also occurs in the absence of aspirin use. (DO)",brain; liver,Reye syndrome,,,,DOID:14525,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Spastic diplegia,"A spastic cerebral palsy that affects lower extremities resulting in tight leg and hip muscles. The legs cross at the knees, making it difficult to walk. (DO)",brain,Little's Disease,,,,DOID:10965,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Spasticity,"A disorder characterized by increased involuntary muscle tone that affects the regions interfering with voluntary movement. It results in gait, movement, and speech disturbances. (NCI CTCAE)", skeletal muscle; motor neuron,,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Spina bifida,"A disorder characterized as a portion of the neural tube failing to develop or close properly, causing defects in the spinal cord and in the bones of the spine.",spinal cord; spine,Spina bifida cystica; myelomeningocele,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,Wernicke encephalopathy,"A brain disease that is characterised by the presence of neurological symptoms of ophthalmoplegia, ataxia, and confusion caused by biochemical lesions of the central nervous system after exhaustion of B-vitamin reserves, in particular thiamine (vitamin B1). (DO)",brain,Wernicke's disease; Wernicke's encephalopathy.,,,,DOID:2384,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,CNS Disorder,,,,,West syndrome,"An epileptic disorder in infants, children, and adults characterized by epileptic seizures and neurological disorders.",brain,Infantile spasms; epileptic spasms; juvenile spasms;,,,,DOID:0050562,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Nervous System Disorder,CNS Disorder,,,,,Brain tumor,"A collection, or mass, of abnormal cells in your brain; can be cancerous (malignant) or non-cancerous (benign).",brain,Brain tumour; Intracranial tumour; Intracranial tumor,,malignant brain tumor; cancerous brain tumor; benign brain tumor; non-cancerous brain tumor; malignant brain tumour; cancerous brain tumour; benign brain tumour; non-cancerous brain tumour;,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Nervous System Disorder,CNS Disorder,,,,,Glioblastoma,A type of brain tumor characterized by its aggressiveness and believed to originate from astrocytes.,brain; astrocyte,glioblastoma multiforme,,,,,,,,,human-phenotype-ontology,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Nervous System Disorder,CNS Disorder,,,,,Meningioma,A central nervous system cancer that are manifested in the central nervous system and arise from the arachnoid cap cells of the arachnoid villi in the meninges. (DO),brain; spinal cord; meninge,,,,,DOID:3565,,,,,HMDB,Disease Ontology (DO),,,
,,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Nervous System Disorder; Bacterial Infection,CNS Disorder,,,,,Bacterial meningitis,"A disorder characterized by acute inflammation of the meninges of the brain and/or spinal cord. Bacterial meningitis varies from aseptic meningitis its transmission through bacterial not viral infection, it's increased rarity, and it's increase in severity.",brain; spinal cord; meninge,,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Nervous System Disorder; Bacterial Infection,CNS Disorder,,,,,Neuroborreliosis,A neurological disorder of the CNS caused by a systemic infection of spirochetes of the genus Borrelia.,brain; spinal cord,LNB; Lyme neuroborreliosis,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Nervous System Disorder; Genetic Disorder,CNS Disorder,,,,,Leigh's syndrome,"A neurological disorder showing extensive genetic heterogeneity characterized by progressive loss of mental and movement abilities (psychomotor regression) and typically results in death within two to three years, usually due to respiratory failure.",brain; respiratory system,"Encephalopathy, necrotizing; Necrotizing encephalopathy, infantile subacute, of Leigh; SNE",,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Nervous System Disorder; Viral Infection,CNS Disorder,,,Malaria; CNS infection,,Cerebral malaria,"A malaria that involves neurologic damage resulting from blockage of the blood vessels, caused due to the infection of the red blood cells by Plasmodium species. (DO)",brain; blood vessel; blood,,,,,DOID:14069,,,,,,Disease Ontology (DO),,,
,,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Nervous System Disorder; Viral Infection,CNS Disorder,,,,,Aseptic meningitis,"A disorder characterized by acute inflammation of the meninges of the brain and/or spinal cord. Aseptic meningitis varies from bacterial meningitis its transmission typically through viral infection, it's increased rate in occurrence, and its decrease in severity.",brain; spinal cord; meninge,Sterile meningitis; Viral meningitis;,,,,,,,,,HMDB,,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder; Circulatory System Disorder,CNS Disorder; Cardiovascular Disorder,,,,,Brain ischemia,A disorder characterized by a decrease or absence of blood supply to the brain caused by obstruction (thrombosis or embolism) of an artery resulting in neurological damage. (NCI CTCAE),artery; brain,Cerebral ischemia; Ischemia cerebrovascular,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder; Hematological System Disorder,CNS Disorder; Hemorrhagic Disorder,,,,,Intraventricular hemorrhage,A disorder characterized as a bleeding into the brain's ventricular system.,brain; ventricular system,Intraventricular haemorrhage; IVH; Intraventricular bleeding,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Nervous System Disorder; Genetic Disorder,CNS Disorder; Inborn Error of Metabolism,,,,,Friedreich's ataxia,"An autosomal recessive (Gene FXN) neurodegenerative disorder characterized by progressive gait and limb ataxia with associated limb muscle weakness, absent lower limb reflexes, extensor plantar responses, dysarthria, and decreased vibratory sense and proprioception. (OMIM)",brain; spinal cord; heart,,,Friedrich's ataxia 1; Friedrich's ataxia 2;,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Nervous System Disorder; Genetic Disorder,CNS Disorder; Inborn Error of Metabolism,,,,,Huntington's disease,"An autosomal dominant (Gene HTT) progressive neurodegenerative disorder with a distinct phenotype characterized by chorea, dystonia, incoordination, cognitive decline, and behavioral difficulties thought to be caused dude to an expanded, unstable trinucleotide repeat in the huntingtin gene.",brain,HD; Chorea major; Huntington's chorea; Huntington disease,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Nervous System Disorder; Genetic Disorder,CNS Disorder; Metabolic Disorder,,,,,Tyrosine hydroxylase deficiency,An autosomal recessive (Gene TH) neurologic disorder characterized by onset in infancy of dopa-responsive dystonia.,brain,Recessive Dopa-Responsive Dystonia; TH deficiency; Autosomal recessive segawa syndrome;,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Hematological System Disorder; Protozoal Infection,Erythrocytic Disorder,,,,,Malaria,"A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle. (DO)",blood; blood cell,PFBI; PLASMODIUM FALCIPARUM PARASITEMIA.,,,,DOID:12365,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Hematological System Disorder,Erythrocytic Disorder,,,,,Anemia,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability. (NCI CTCAE)",blood,anaemia; Anemia (DOID:2355),,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Irritable bowel syndrome,"A syndrome that is a functional bowel disorder characterized by chronic abdominal pain, discomfort, bloating, and alteration of bowel habits in the absence of any detectable organic cause. (DO)",large intestine,IBS,,Diarrhea-predominant irritable bowel syndrome; Diarrhea-predominant IBS; Constipation-predominant irritable bowel syndrome; Constipation-predominant IBS;,,DOID:9778,,,,,HMDB,Disease Ontology (DO),,,
Modify,25-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Chronic diarrhea,A disorder in which loose stools last for several weeks or longer.,intestine,,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Constipation predominant irritable bowel syndrome,"A form of irritable bowel syndrome that is characterized by constipation (as opposed to diarrhea), among other symptoms.",large intestine,IBS-C; C-IBS,Irritable bowel syndrome; IBS,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Crohn's disease,"A gastrointestinal disorder characterized by chronic inflammation involving all layers of the intestinal wall, noncaseating granulomas affecting the intestinal wall and regional lymph nodes, and transmural fibrosis. Crohn disease most commonly involves the terminal ileum; the colon is the second most common site of involvement.",intestine,Regional enteritis; Granulomatous colitis; Crohn Disease (NCI:C2965),,,,,,,,,HMDB,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Diarrhea predominant irritable bowel syndrome,"A form of irritable bowel syndrome that is characterized by diarrhea (as opposed to constipation), among other symptoms.",intestine,IBS-D; Diarrhoea predominant IBS; Diarrhoea predominant irritable bowel syndrome; Diarrhea predominant IBS;,Irritable bowel syndrome; IBS,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Gastrointestinal Disorder,,,,,Peritonitis,"A gastrointestinal system disease that involves inflammation of the peritoneum resulting from perforation of the gastrointestinal tract, which produces immediate chemical inflammation followed shortly by infection from intestinal organisms. Peritonitis can also result from appendicitis, diverticulitis, strangulating intestinal obstruction, pancreatitis, pelvic inflammatory disease, mesenteric ischemia, intraperitoneal blood, barium, or peritoneo-systemic shunts, drains, and dialysis catheters in the peritoneal cavity. The symptoms include abdominal pain and tenderness, fever, fluid in the abdomen, nausea, vomiting and low urine output. (DO)",peritoneum; intestine,,,,,DOID:8283,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Injury or Poisoning,Digestive System Disorder; Poisoning,Gastrointestinal Disorder,,,Shellfish poisoning,,Diarrheal shellfish poisoning,A gastrointestinal disorder due to ingesting shellfish that contain toxins.,intestine,DSP,,,,,,,"vomiting, nausea",,,Wikipedia,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Endocrine System Disorder; Male Reproductive System Disorder,Ovarian Disorder,,,,,Testicular adrenal rest tumor,A benign tumor of the testicles which typically resemble adrenocortical tissue and may result in gonadal dysfunction and infertility.,teste,Bilateral testicular adrenal rest tumors,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Female Reproductive System Disorder; Endocrine System Disorder,Ovarian Disorder,,,,,Ovarian infection,A disorder characterized by an infectious process involving the ovary. (NCI CTCAE),ovary,,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Hematological System Disorder; Nervous System Disorder,Hemorrhagic Disorder; CNS Disorder,,,,,Subarachnoid hemorrhage,A non-traumatic bleeding which usually occurs in the setting of a ruptured cerebral aneurysm or arteriovenous malformation.,subarachnoid space,SAH; Subarachnoid haemorrhage,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,,,,,Hepatobiliary Disorder,Any disorder that affects the liver and the biliary system.,liver; biliary system,Hepatobiliary disease,,,,,,,,,,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Digestive System Disorder,Hepatobiliary Disorder,,,,,Cholangiocarcinoma,A bile duct adenocarcinoma that has material basis in bile duct epithelial cells. (DO),bile duct,Cholangioma cancer; Cholangioma,,,,DOID:4947,,,,,HMDB,Disease Ontology (DO),,,
Create ,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type 0,"Am autosomal recessive (GYS2) metabolic disorder characterized by a deficiency in the glycogen synthase enzyme and causing fasting hypoglycemia, high blood ketones, increased free fatty acids and low levels of alanine and lactate.",,Hypoglycermia with deficiency of glycogen synthetase in the liver; Liver glycogen synthase deficiency; liver glycogen storage disease;,,,,,,,,,,,,So all of these GSD's should they have a parent type describing what a general glycogen storage disease is?,
Create ,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type I,An autosomal recessive (Gene G6PC) metabolic disorder characterized by an accumulation of glycogen and typically manifests during the first year of life with severe hypoglycemia and hepatomegaly.,,von Gierke's disease; von Gierke disease; glucose-6-phosphatase deficiency; hepatorenal glycogenosis,,,,,,,,,,,,,
Create ,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type II,An autosomal recessive (Gene GAA) lysosomal storage disease characterized by  caridomyopathy and muscular hypotonia.,lysosome; heart,Pompe disease;  GAA deficiency; Cardiomegalia glycogenia diffusa,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type III,"An autsomal recessive (Gene AGL) metabolic disorder caused by deficiency of the glycogen debrancher enzyme and associated with an accumulation of abnormal glycogen with short outer chains; patients with GSD III present in infancy or early childhood with hepatomegaly, hypoglycemia, and growth retardation.",,GSD type III; Limit dextrinosis; Forbe's disease; Forbes disease; Cori's disease,,,,,,,,,HMDB,,,,
Create ,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type IV,"An autosomal recessive (Gene GBE1) metabolic disorder characterized by presentation of liver disease during childhood, progressing to lethal cirrhosis, and neuromuscular disorders.",liver,Andersen disease; Brancher deficiency; Glycogenosis IV; Amylopectinosis; Glycogen branching enzyme deficiency,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type IX,An X-linked recessive recessive (Gene PHKA2) metabolic disorder characterized by a deficiency of hepatic phosphorylase kinase resulting no PHK activity in liver or erythrocytes.,liver,GSD type IX,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type V,An autosomal recessive (Gene PYGM) metabolic disorder characterized by onset of exercise intolerance and muscle cramps in childhood or adolescence.,,"GSD type V; GSD-V; McArdle Disease; Myophosphorylase deficiency; Muscle phosphorylase deficiency; Glycogenosis, Type V",,,,,,,,,HMDB,,,,
Create ,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type VI,"An autosomal recessive (Gene PYGL) metabolic disorder characterized by mild to moderate hypoglycemia, mild ketosis, growth retardation, and prominent hepatomegaly.",,Hers disease; Phosphorylaase deficiency glycogen-storage disease of liver;,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Glycogen storage disease,,Glycogen storage disease type VII,"An autosomal recessive (Gene PFKM) metabolic disorder characterized clinically by exercise intolerance, muscle cramping, exertional myopathy, and compensated hemolysis. Myoglobinuria may also occur. (OMIM)",,GSD type VII; Tarui's disease; Phosphofructokinase deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Molecular Disorder; System Disorder,Genetic Disorder,Inborn Error of Metabolism,,,Organic acidemia,,Fumarase deficiency,"An autosomal recessive (Gene FH) metabolic disorder characterized by early-onset hypotonia, profound psychomotor retardation, and brain abnormalities, such as agenesis of the corpus callosum, gyral defects, and ventriculomegaly. (OMIM)",brain; corpus callosum; gyrus,Fumaric aciduria,,,,,,,,,HMDB,,,,
